isbn10,isbn13,title,cost,cover,length,height,width,weight,sell px,offers,90d,stock,asr,wholesaler
18424300648,9781842430064,Hand I Played: A Poker Memoir,0.25,Hardcover,28.999942,161.999676,240.999518,580.6211316,15.29,1,0,82,3234231,A
18434402397,9781843440239,Making Of A Poker Player,0.25,Paperback,0,0,0,0,8.99,3,2,16,1327101,A
18544413485,9781854441348,F. Ernest Jackson and His School,0.25,Paperback,240.03,7.874,180.086,0,4.79,6,0,1101,5078915,A
19012505417,9781901250541,Science of Love,0.25,Paperback,215.9,139.7,16.764,254,8.99,1,1,5,392747,A
918856948,9780091885694,Death: A User's Guide (User's Guides),0.25,Paperback,0,0,0,0,4.82,2,0,5,3366945,A
18642901032,9781864290103,"Pocketful of Stars, A",0.25,Paperback,14.732,113.538,155.448,133.337859,3.8,1,0,47,7589956,A
2240768079,9780224076807,Insatiable: Competitive Eating & Big Fat American Dream,0.25,Paperback,197.999604,129.99974,18.999962,250.7984952,4.79,3,0,103,2856297,A
98793385681,9789879338568,Love Never Ends,0.25,Paperback,0,0,0,0,3.95,2,0,10,2000000,A
7160214142,9780716021414,Cosmetic Watch: Lifting the Lid Off Cosmetic Ingre,0.25,Paperback,197.999604,128.999742,134.99973,1768.281698,4.79,2,0,38,3363572,A
0856603495X,9780856603495,How to Succeed at Assessment Centres,0.25,Paperback,0,0,0,0,4.79,2,0,25,10112367,A
7171312426,9780717131242,Complete Breast Book,0.25,Paperback,0,0,0,0,5.29,3,0,1093,12484262,A
8596977053,9780859697705,Feverfew (Sheldon Natural Remedies),0.25,Paperback,0,0,0,0,4.8,1,0,93,6426167,A
65303819,9780006530381,I Am No Longer Myself Without You: How Men Love Wo,0.25,Paperback,190.5,133.35,6.35,82.72315962,5.3,2,1,58,1679411,A
7528649389,9780752864938,You Are Here,0.25,Paperback,193.04,127,27.94,351.2714232,4.48,8,3,1062,1039955,A
5756033702,9780575603370,Feng Shui for Entertaining,0.25,Paperback,190.5,121.92,17.78,211.7712886,3.49,4,0,30,10345366,A
16006106912,9781600610691,For Boys Only / For Girls Only,0.25,Paperback,177.7996444,126.999746,17.52596495,202.9462672,3.29,3,0,1030,5586318,A
4362053541,9780436205354,Triksta - Life & Death & New Orleans Rap,0.25,Paperback,214.99957,133.999732,16.999966,251.1625956,4.8,3,3,103,1450336,A
7538128914,9780753812891,Ways of Hearing,0.25,Paperback,220.98,154.94,22.86,272.4,3.99,4,0,106,3844521,A
67505981,9780006750598,When She Hollers,0.25,Paperback,0,0,0,0,3.34,5,0,1134,2026119,A
3166407708,9780316640770,Staffordshire Figures (Christie's Collectables),0.25,Hardcover,2.54,2.54,2.54,0.008403623,2.8,10,2,211,1540996,A
994701444,9780099470144,"Lovebites: A Cornucopia of Love, Desire and Sauce",0.25,Paperback,173.99,120.65,12.7,136.7164346,2.7,5,0,1102,5801281,A
1402206818X,9781402206818,Do You Know Your Teen?: A Fun Quiz About Your Grea,0.25,Paperback,177.8,127,7.112,86.2,4.8,1,0,100,4560411,A
15992122276,9781599212227,PMS - Problems Men Started,0.25,Hardcover,165.1,120.65,19.05,194.596385,6.58,3,0,1101,2000000,A
