isbn10,isbn13,title,asr,stock,offers,cost,true_px,90d,cover
1784881384,9781784881382,Gentleman's Handbook: The Essential Guide to Being a Man,600119,1107,20,2.5,7.73,4,Hardcover
0857687751,9780857687753,OFFER: Harry Potter: Page To Screen. EX-DISPLAY. NOT MINT. ,170548,2,1,2.5,18.75,9,Hardcover
0099493470,9780099493471,Alastair Campbell Diaries 3 - Power & Responsibility 1999-2001,197470,1157,9,1.5,11.07,17,Paperback
1786717883,9781786717887,Great Railway Journeys Of Europe (with free app & ebook),215112,285,17,3,11.98,14,Paperback
1781250510,9781781250518,Nefertiti's Face: The Creation Of An Icon,74119,1240,19,1.75,7.78,2,Paperback
1781253420,9781781253427,Adventures In Being Human,80831,1058,8,2,7.79,17,Paperback
0750993286,9780750993289,"Adventuress: The Life & Loves Of Lucy, Lady Houston",122553,1165,22,3,12.47,5,unknown
1782402519,9781782402510,Moments Of Mindfulness,166042,1142,9,1,4.95,3,Hardcover
178606278X,9781786062789,Raw Speed: Tai Woffinden - My Autobiography,162507,1291,19,2.5,10.85,18,Hardcover
1908051051,9781908051059,Liverpool FC On This Day,139926,1171,17,1.5,7.32,8,Hardcover
1850748713,9781850748717,Ration Book Cookery: Recipes & History,65422,202,13,1.5,7.36,9,Hardcover
1781310793,9781781310793,Secret Listeners: The Men and Women Posted Across the World to Intercept the German Codes for Bletchley Park,174287,1108,11,1.5,7.32,10,Paperback
3836519798,9783836519793,Days Of The Cougar,12000000,128,4,3,9.88,0,Hardcover
3836521628,9783836521628,Howard Huang's Urban Girls,12000000,1104,3,3,23.1,0,Hardcover
1782194347,9781782194347,Sarah Millican - The Biography of the Funniest Woman in Britain,129091,63,9,1.5,6.63,4,Paperback
1785315625,9781785315626,Final Round: The Autobiography of Jane Couch,36823,390,18,3,9.82,6,unknown
0486813487,9780486813486,Puzzle Box Volume 2,147741,1128,12,2,8.29,2,Paperback
0486816850,9780486816852,Puzzle Box Volume 3,147790,1103,3,2,10.44,2,unknown
2067236016,9782067236011,Michelin Road Atlas France 2019 (spiral bound),238395,274,11,1,5.65,3,Map
1785316524,9781785316524,Out Of The Darkness: My Story In Football    (Leicester & Sunderland),158271,1259,18,3,11.31,23,unknown
0486832775,9780486832777,Unsteady Transonic Flow,182557,1016,3,2,9.06,1,Paperback
1743795831,9781743795835,Less Waste No Fuss Kitchen,54546,249,16,2,7.99,3,Flexibound
0008193495,9780008193492,In The Darkroom,215027,41,4,2.5,15.64,3,Hardcover
0563539003,9780563539001,Oz & James's Big Wine Adventure,97513,1003,4,2.5,18.04,2,Hardcover
1780286791,9781780286792,C List: How I Survived Bowel Cancer,176043,136,17,1.5,7.93,2,Paperback
0715651463,9780715651469,Life & Loves Of E.Nesbit,178404,398,17,3,10.78,9,Hardcover
1787134172,9781787134171,I Like Birds: A Guide to Britain's Avian Wildlife,96039,1133,20,2.5,9.51,13,Hardcover
1474608329,9781474608329,Enigma: The Battle For The Code,175667,192,14,2,6.3,5,Paperback
0752463454,9780752463452,From Ration Book To E-Book,123555,260,10,1.5,6.72,4,Hardcover
0304356875,9780304356874,Great Escape,129707,227,10,2,9.77,24,Paperback
075098273X,9780750982733,Dunkirk: The Real Story In Photographs,192411,1168,13,3,10.45,5,Paperback
0752424122,9780752424125,Men Who Made Leyton Orient Football Club,158667,4,4,2.5,15.78,8,Paperback
1405394331,9781405394338,Britain From Above Month By Month,243142,115,5,2.5,9.47,2,Hardcover
1911130641,9781911130642,Virgin Cocktail Garden,220412,257,18,2,8.99,9,unknown
1781318433,9781781318430,I Know An Artist: the inspiring connection between the world's greatest artists,208086,1240,25,3,9.86,7,Hardcover
1782402357,9781782402350,"Soil, Soul, Society: A New Trinity For Our Time",217351,1193,21,1.5,8.82,22,Paperback
1910254479,9781910254479,Upcycling: 20 Creative Projects Made from Reclaimed Materials,148297,130,23,3,10.4,32,Hardcover
1789502179,9781789502176,Enquire Within Upon Everything,33060,1334,19,1.75,7.78,3,unknown
1785905201,9781785905209,Critical Times,184344,376,20,2.5,9.56,8,unknown
1785902199,9781785902192,How To Be A Police Officer,233337,1258,17,2,8.5,15,Paperback
1785904167,9781785904165,Provocations: I Still Find That Offensive!,221124,1188,12,1.5,6.22,5,Hardcover
0008132216,9780008132217,"Taming The Flood: Rivers, Wetlands & the Battle Against Flooding",208865,1623,12,2,7.79,18,Paperback
1910787930,9781910787939,Leon Morrocco: A Painter's Journey,176890,36,16,4.5,15.77,4,Hardcover
185669982X,9781856699822,London Postcards,128142,1068,4,1.5,8.08,12,Cards
1786270838,9781786270832,Secret Life Of The Pencil,223174,1130,5,2.5,9.49,4,Hardcover
1789460786,9781789460780,Reaper Force: The Inside Story of Britain's Drone Wars,161543,1275,14,1.5,5.98,19,Paperback
1912690527,9781912690527,Rudolf Hess: Truth At Last,120666,62,10,2.5,9.79,7,Paperback
0857834746,9780857834744,Wild Flowers of Britain and Ireland,173117,24,12,3.5,10.56,9,Paperback
1445661640,9781445661643,"Her Finest Hour: The Heroic Life of Diana Rowden, Wartime Secret Agent",106928,7,5,3.5,12,2,Hardcover
1862058334,9781862058330,Fish: The Complete Fish & Seafood Companion,142614,1500,16,3,0.1,1,Kindle Edition
1782436618,9781782436614,I Used To Know That Activity Book: stuff you forgot from school,71459,2041,4,1.5,4.79,2,Paperback
1445670402,9781445670409,Chester In 50 Buildings   (Cheshire),192533,1012,15,3,9.99,2,unknown
0571349641,9780571349647,Dark Stuff: Selected Writings on Rock Music 1972-1993,98226,370,20,1.5,5.88,7,Paperback
057134965X,9780571349654,Electric Eden: Unearthing Britain's Visionary Music,108178,1325,19,1.5,4.8,21,Paperback
1845436202,9781845436209,"Braids, Buns & Twists! ",244111,116,14,2.5,10.13,6,Flexibound
0715338706,9780715338704,Bead Jewellery Bible,134517,1092,14,3,11.82,8,Paperback
071533624X,9780715336243,Bag Making Bible,34004,168,23,3,9.15,39,Paperback
0300205414,9780300205411,Jonathan Swift: His Life & His World,44695,1666,16,3,9.49,6,Paperback
1782433880,9781782433880,My Son's Not Rainman,242308,1274,24,1.5,4.75,10,Paperback
1782438122,9781782438120,Red Glory: Manchester United & Me,88139,116,3,3,9.79,6,Hardcover
1781311471,9781781311479,Runner: A Short Story About A Long Run,140535,26,3,1.5,7.53,5,Paperback
1845436024,9781845436025,Animal Knits For Kids,51360,2,1,2.5,11.69,2,Flexibound
1592539246,9781592539246,"20 Ways To Draw A Doodle & 44 other zigzag, twirls, spirals & teardrops",86822,52,2,2,8.08,7,Paperback
178713380X,9781787133808,Little Book Of Mindfulness II,64078,1222,18,1.5,5.94,5,Hardcover
1784979759,9781784979751,"Calling Us Home: Find Your Path, Your Balance & Your Inner Strength",233645,2190,12,2.5,10.8,3,unknown
1849494207,9781849494205,Little Book Of Mindfulness  (some non-mint),16072,1500,31,1,1,1,Paperback
